title;artist;top genre;year;bpm;energy;danceability ;dB;liveness;valence;duration;acousticness;speechiness ;popularity
Why'd You Only Call Me When You're High?;Arctic Monkeys;garage rock;2013;92;63;69;-6;10;80;161;5;4;88
Bad Habits;Ed Sheeran;pop;2021;126;89;81;-4;37;54;231;5;3;87
Happier Than Ever;Billie Eilish;art pop;2021;81;23;33;-9;13;30;299;77;3;87
Heartless;Kanye West;chicago rap;2008;88;65;79;-6;25;65;211;5;14;87
Heaven;Niall Horan;pop;2023;92;76;57;-3;33;68;186;7;3;87
I'm Not The Only One;Sam Smith;pop;2014;82;49;68;-6;8;49;239;53;4;87
In the End;Linkin Park;alternative metal;2000;105;86;56;-6;21;40;217;1;6;87
La Jumpa;Arcángel;latin hip hop;2022;140;23;89;-15;13;20;197;11;18;87
LET GO;Central Cee;melodic drill;2022;146;45;74;-10;21;51;176;86;38;87
MIDDLE OF THE NIGHT;Elley Duhé;alt z;2020;186;61;41;-8;12;9;184;2;5;87
Mr. Brightside;The Killers;alternative rock;2004;148;91;35;-5;10;24;223;0;7;87
Numb;Linkin Park;alternative metal;2003;110;86;50;-4;64;24;186;0;4;87
Photograph;Ed Sheeran;pop;2014;108;38;61;-10;10;20;259;61;5;87
Say You Won't Let Go;James Arthur;pop;2016;85;56;36;-7;9;49;211;70;6;87
Something Just Like This;The Chainsmokers;electropop;2017;103;64;62;-7;16;45;247;5;3;87
Somewhere Only We Know;Keane;neo mellow;2004;172;67;45;-4;8;30;237;6;3;87
STAY (with Justin Bieber);The Kid LAROI;australian hip hop;2021;170;76;59;-5;10;48;142;4;5;87
Stressed Out;Twenty One Pilots;modern rock;2015;170;64;73;-6;6;65;202;5;14;87
Style;Taylor Swift;pop;2014;95;79;59;-6;12;49;231;0;4;87
The Nights;Avicii;edm;2014;126;84;53;-5;25;65;177;2;4;87
Thunder;Imagine Dragons;modern rock;2017;168;82;61;-5;15;29;187;1;4;87
traitor;Olivia Rodrigo;pop;2021;101;34;38;-8;12;8;229;69;3;87
Wake Me Up;Avicii;edm;2013;124;78;53;-6;16;64;247;0;5;87
Where Are You Now;Lost Frequencies;belgian edm;2021;121;64;67;-8;17;26;148;52;10;87
Woman;Doja Cat;dance pop;2021;108;76;82;-4;12;88;173;9;9;87
7 rings;Ariana Grande;pop;2019;140;32;78;-11;9;33;179;59;33;86
A Sky Full of Stars;Coldplay;permanent wave;2014;125;68;55;-6;21;16;268;1;3;86
Adore You;Harry Styles;pop;2019;99;77;68;-4;10;57;207;2;5;86
All of Me;John Legend;neo soul;2013;120;26;42;-7;13;33;270;92;3;86
Before You Go;Lewis Capaldi;pop;2019;112;57;46;-5;9;18;215;60;6;86
Beggin';Måneskin;indie rock italiano;2017;134;80;71;-5;36;59;212;13;5;86
Closer;The Chainsmokers;electropop;2016;95;52;75;-6;11;66;245;41;3;86
Cold Heart - PNAU Remix;Elton John;glam rock;2021;116;80;80;-6;10;94;203;3;3;86
Counting Stars;OneRepublic;piano rock;2013;122;71;66;-5;12;48;257;7;4;86
Daddy Issues;The Neighbourhood;modern alternative rock;2015;85;52;59;-9;12;34;260;7;3;86
deja vu;Olivia Rodrigo;pop;2021;181;61;44;-7;37;18;216;58;11;86
Demons;Imagine Dragons;modern rock;2012;90;71;51;-3;27;43;178;19;3;86
drivers license;Olivia Rodrigo;pop;2021;144;43;56;-9;11;14;242;77;6;86
everything i wanted;Billie Eilish;art pop;2019;120;23;70;-14;11;24;245;90;10;86
Fair Trade (with Travis Scott);Drake;canadian hip hop;2021;168;47;67;-9;22;29;291;5;26;86
Flashing Lights;Kanye West;chicago rap;2007;90;63;64;-8;39;43;238;4;4;86
FLOWER;JISOO;k-pop;2023;124;38;84;-8;7;60;173;2;4;86
Glimpse of Us;Joji;viral pop;2022;170;32;44;-9;14;27;233;89;5;86
God's Plan;Drake;canadian hip hop;2018;77;45;75;-9;55;36;199;3;11;86
good 4 u;Olivia Rodrigo;pop;2021;167;66;56;-5;8;69;178;34;15;86
goosebumps;Travis Scott;hip hop;2016;130;73;84;-3;15;43;244;8;5;86
Hips Don't Lie (feat. Wyclef Jean);Shakira;colombian pop;2005;100;82;78;-6;41;76;218;28;7;86
HUMBLE.;Kendrick Lamar;conscious hip hop;2017;150;62;91;-7;10;42;177;0;10;86
Kill Bill (feat. Doja Cat);SZA;pop;2023;89;74;63;-6;19;45;176;8;4;86
Let Me Down Slowly;Alec Benjamin;alt z;2018;150;56;65;-6;12;48;169;74;3;86
Lost;Frank Ocean;lgbtq+ hip hop;2012;123;60;91;-5;17;50;234;3;23;86
Love On The Brain;Rihanna;barbadian pop;2016;172;64;51;-5;8;38;224;7;5;86
Ni**as In Paris;JAY-Z;east coast hip hop;2011;140;86;79;-6;35;78;219;13;31;86
Nobody Gets Me;SZA;pop;2022;100;28;36;-8;18;28;181;81;3;86
rockstar (feat. 21 Savage);Post Malone;dfw rap;2018;160;52;59;-6;13;13;218;12;7;86
Running Up That Hill (A Deal With God);Kate Bush;art pop;1985;108;55;63;-13;6;19;299;72;5;86
Set Fire to the Rain;Adele;british soul;2011;108;67;60;-4;11;45;243;0;2;86
Seven Nation Army;The White Stripes;alternative rock;2003;124;45;74;-8;34;28;232;0;7;86
Shallow;Lady Gaga;art pop;2018;96;39;57;-6;23;32;216;37;3;86
STAY (with Justin Bieber);The Kid LAROI;australian hip hop;2021;170;76;59;-5;10;48;142;4;5;86
telepatía;Kali Uchis;colombian pop;2020;84;52;65;-9;20;55;160;11;5;86
That's What I Like;Bruno Mars;dance pop;2016;134;56;85;-5;9;86;207;1;4;86
The Less I Know The Better;Tame Impala;australian psych;2015;117;74;64;-4;17;79;216;1;3;86
The Scientist;Coldplay;permanent wave;2002;146;44;56;-7;11;21;310;73;2;86
Till I Collapse;Eminem;detroit hip hop;2002;171;85;55;-3;8;10;298;6;19;86
Too Good At Goodbyes;Sam Smith;pop;2017;92;37;68;-8;17;48;201;64;4;86
Treat You Better;Shawn Mendes;canadian pop;2017;83;82;44;-4;11;75;188;11;34;86
Una Noche en Medellín;Cris Mj;mambo chileno;2022;96;55;87;-5;5;83;154;9;8;86
Until I Found You;Stephen Sanchez;gen z singer-songwriter;2021;101;51;54;-6;17;23;178;73;3;86
What Makes You Beautiful;One Direction;boy band;2012;125;79;73;-2;6;89;200;1;7;86
All The Stars (with SZA);Kendrick Lamar;conscious hip hop;2018;97;63;70;-5;9;55;232;6;6;85
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault);Taylor Swift;pop;2021;93;52;63;-9;9;21;613;27;3;85
Belly Dancer;Imanbek;electro house;2022;122;80;85;-5;17;42;151;6;14;85
Feel Good Inc.;Gorillaz;alternative hip hop;2005;139;71;82;-7;61;77;223;1;18;85
Fix You;Coldplay;permanent wave;2005;138;42;21;-9;11;12;296;16;3;85
happier;Olivia Rodrigo;pop;2021;169;44;40;-10;8;34;176;77;13;85
Hymn for the Weekend;Coldplay;permanent wave;2015;90;69;49;-6;33;41;258;21;4;85
Let Me Love You;DJ Snake;edm;2016;100;72;65;-5;14;16;206;9;3;85
Levitating (feat. DaBaby);Dua Lipa;dance pop;2020;103;83;70;-4;7;92;203;1;6;85
Lost in the Fire (feat. The Weeknd);Gesaffelstein;dark clubbing;2019;101;67;66;-12;12;17;202;9;4;85
Love Yourself;Justin Bieber;canadian pop;2015;100;38;61;-10;28;52;234;84;44;85
LOVE. FEAT. ZACARI.;Kendrick Lamar;conscious hip hop;2017;126;59;80;-7;15;78;213;26;9;85
Lucid Dreams;Juice WRLD;chicago rap;2018;84;57;51;-7;34;22;240;35;20;85
Maps;Maroon 5;pop;2014;120;71;74;-6;6;88;190;2;3;85
One Last Time;Ariana Grande;pop;2014;125;59;63;-5;10;10;197;9;3;85
Only Love Can Hurt Like This;Paloma Faith;british soul;2014;91;89;57;-5;33;30;233;10;8;85
Paradise;Coldplay;permanent wave;2011;140;59;45;-7;8;21;279;5;3;85
Passionfruit;Drake;canadian hip hop;2017;112;46;81;-11;11;36;299;26;4;85
Payphone;Maroon 5;pop;2012;110;75;74;-5;29;55;231;2;4;85
Promiscuous;Nelly Furtado;canadian latin;2006;114;97;81;-6;15;87;242;6;5;85
Redbone;Childish Gambino;atl hip hop;2016;160;35;75;-11;12;60;327;17;10;85
Riptide;Vance Joy;folk-pop;2014;102;73;48;-7;15;51;204;43;4;85
Shake It Off;Taylor Swift;pop;2014;160;80;65;-5;33;94;219;6;17;85
Shut Up and Dance;WALK THE MOON;dance rock;2014;128;87;58;-4;26;62;199;1;6;85
SICKO MODE;Travis Scott;hip hop;2018;155;73;83;-4;12;45;313;1;22;85
Stan;Eminem;detroit hip hop;2000;80;77;78;-4;52;51;404;4;24;85
Stay With Me;Sam Smith;pop;2014;84;42;42;-6;11;18;173;59;4;85
Take Me To Church;Hozier;irish singer-songwriter;2014;129;66;57;-5;12;44;242;63;5;85
Thinking out Loud;Ed Sheeran;pop;2014;79;45;78;-6;18;59;282;47;3;85
Umbrella;Rihanna;barbadian pop;2008;174;83;58;-5;4;57;276;1;13;85
We Found Love;Rihanna;barbadian pop;2011;128;77;73;-4;11;60;215;3;4;85
when the party's over;Billie Eilish;art pop;2019;83;11;37;-14;9;20;196;98;10;85
Yonaguni;Bad Bunny;reggaeton;2021;180;65;64;-5;14;44;207;28;12;85
abcdefu;GAYLE;modern alternative pop;2021;122;54;70;-6;37;42;169;30;5;84
bad guy;Billie Eilish;art pop;2019;135;43;70;-11;10;56;194;33;38;84
Bad Romance;Lady Gaga;art pop;2009;119;92;70;-4;8;71;295;0;4;84
Bored;Billie Eilish;art pop;2017;120;32;61;-13;8;11;181;90;5;84
Bring Me To Life;Evanescence;alternative metal;2003;95;94;33;-3;24;30;236;1;7;84
Can't Feel My Face;The Weeknd;canadian contemporary r&b;2015;108;77;71;-6;11;58;214;11;4;84
Delicate;Taylor Swift;pop;2017;95;40;75;-10;9;5;232;22;7;84
Doin' Time;Lana Del Rey;art pop;2019;145;56;64;-11;9;52;202;40;4;84
Don't;Bryson Tiller;kentucky hip hop;2015;97;36;77;-6;10;19;198;22;20;84
EARFQUAKE;Tyler, The Creator;hip hop;2019;80;50;55;-9;80;41;190;23;7;84
Easy On Me;Adele;british soul;2021;142;37;60;-8;13;13;225;58;3;84
Empire State Of Mind;JAY-Z;east coast hip hop;2009;174;96;49;-2;46;81;277;3;39;84
Give Me Everything (feat. Ne-Yo, Afrojack & Nayer);Pitbull;dance pop;2011;129;94;67;-3;30;53;252;19;16;84
Godzilla (feat. Juice WRLD);Eminem;detroit hip hop;2020;166;75;81;-5;29;83;211;14;34;84
22;Taylor Swift;pop;2012;104;73;66;-7;5;67;232;0;4;72
Happier;Marshmello;brostep;2018;100;79;69;-3;17;67;214;19;5;84
Hey, Soul Sister;Train;dance pop;2010;97;89;67;-4;8;80;217;19;4;84
HIGHEST IN THE ROOM;Travis Scott;hip hop;2019;76;43;60;-9;21;6;176;5;3;84
I WANNA BE YOUR SLAVE;Måneskin;indie rock italiano;2021;133;61;75;-4;18;96;173;0;4;84
In Da Club;50 Cent;east coast hip hop;2003;90;71;90;-3;7;78;193;26;37;84
In Ha Mood;Ice Spice;bronx drill;2023;141;74;77;-7;23;53;129;70;34;84
Infinity;Jaymes Young;indie poptimism;2017;122;67;67;-7;30;49;238;15;4;84
Jocelyn Flores;XXXTENTACION;emo rap;2017;134;39;87;-9;30;44;119;47;24;84
Leave Before You Love Me (with Jonas Brothers);Marshmello;brostep;2021;120;74;72;-5;12;64;155;0;4;84
Levitating;Dua Lipa;dance pop;2020;103;88;70;-2;21;91;204;6;8;84
Love The Way You Lie;Eminem;detroit hip hop;2010;87;93;75;-5;52;64;263;24;23;84
Maria Maria (feat. The Product G&B);Santana;blues rock;1999;98;60;78;-6;3;68;262;4;13;84
Moonlight;XXXTENTACION;emo rap;2018;128;54;92;-6;10;71;135;56;8;84
Needed Me;Rihanna;barbadian pop;2016;111;31;67;-8;8;30;192;11;24;84
Only Girl (In The World);Rihanna;barbadian pop;2010;126;71;79;-4;6;64;235;11;4;84
Party;Bad Bunny;reggaeton;2022;97;80;83;-5;24;47;228;2;9;84
Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;canadian pop;2021;90;70;68;-6;42;46;198;32;12;84
Pepas;Farruko;reggaeton;2021;130;77;76;-4;13;44;287;1;3;84
positions;Ariana Grande;pop;2020;144;80;74;-5;9;68;172;47;9;84
PROVENZA;KAROL G;reggaeton;2022;111;52;87;-8;11;53;210;66;5;84
Pumped Up Kicks;Foster The People;indietronica;2011;128;71;73;-6;10;97;240;14;3;84
Ric Flair Drip (with Metro Boomin);Offset;atl hip hop;2017;100;43;88;-8;11;33;173;15;21;84
Ride;Twenty One Pilots;modern rock;2015;75;71;65;-5;11;57;215;1;4;84
Safe And Sound;Capital Cities;metropopolis;2013;118;82;66;-5;10;77;193;0;3;84
See You Again (feat. Charlie Puth);Wiz Khalifa;hip hop;2015;80;48;69;-8;6;28;230;37;8;84
Story of My Life;One Direction;boy band;2013;121;66;60;-6;12;29;245;23;5;84
Summer;Calvin Harris;dance pop;2014;128;86;60;-4;14;74;223;2;3;84
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;dfw rap;2019;90;52;76;-4;7;93;158;53;6;84
Tarot;Bad Bunny;reggaeton;2022;114;68;80;-4;66;42;238;2;4;84
THATS WHAT I WANT;Lil Nas X;lgbtq+ hip hop;2021;88;85;74;-5;5;55;144;1;22;84
The Motto;Tiësto;big room;2021;118;76;75;-5;9;46;165;3;4;84
This Is What You Came For;Calvin Harris;dance pop;2016;124;93;63;-3;15;47;222;20;3;84
Toxic;Britney Spears;dance pop;2003;143;84;77;-4;24;92;199;2;11;84
Unforgettable;French Montana;hip hop;2017;98;77;73;-5;10;73;234;3;12;84
Uptown Funk (feat. Bruno Mars);Mark Ronson;pop soul;2015;115;61;86;-7;3;93;270;1;8;84
Waiting For Love;Avicii;edm;2015;128;74;58;-4;20;61;231;31;5;84
We Don't Talk Anymore (feat. Selena Gomez);Charlie Puth;pop;2016;100;56;73;-8;18;35;218;62;13;84
we fell in love in october;girl in red;alt z;2018;130;37;57;-13;16;24;184;11;3;84
Yeah! (feat. Lil Jon & Ludacris);Usher;atl hip hop;2004;105;79;89;-5;4;58;250;2;11;84
7 Years;Lukas Graham;danish pop;2016;120;47;77;-6;39;34;237;29;5;83
a lot;21 Savage;atl hip hop;2018;146;64;84;-8;34;27;289;4;9;83
All The Small Things;blink-182;alternative metal;1999;149;90;43;-5;61;68;167;1;5;83
Baby;Justin Bieber;canadian pop;2010;65;86;73;-5;11;54;214;4;14;83
Better Now;Post Malone;dfw rap;2018;145;58;68;-6;14;34;231;33;4;83
Bruises;Lewis Capaldi;pop;2019;111;31;74;-8;19;36;220;95;7;83
Cake By The Ocean;DNCE;dance pop;2016;119;75;77;-5;4;90;219;15;5;83
Call Me Maybe;Carly Rae Jepsen;canadian pop;2012;120;58;78;-7;11;66;193;1;4;83
Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis;pop rap;2012;146;92;64;-4;9;85;258;3;8;83
Can't Stop;Red Hot Chili Peppers;alternative rock;2002;91;94;62;-3;17;88;269;2;5;83
Clocks;Coldplay;permanent wave;2002;131;75;58;-7;18;26;308;60;3;83
Congratulations;Post Malone;dfw rap;2016;123;80;63;-4;25;49;220;22;4;83
death bed (coffee for your head);Powfu;sad lo-fi;2020;144;43;73;-9;70;35;173;73;14;83
Desesperados;Rauw Alejandro;puerto rican pop;2021;90;69;87;-3;9;51;225;36;8;83
Don't Start Now;Dua Lipa;dance pop;2020;124;79;79;-5;10;68;183;1;8;83
Don't You Worry Child - Radio Edit;Swedish House Mafia;edm;2012;129;84;61;-3;12;44;213;11;5;83
Dynamite;BTS;k-pop;2020;114;77;75;-4;9;74;199;1;10;83
Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons;modern rock;2021;77;78;73;-4;43;56;173;24;27;83
Feel So Close - Radio Edit;Calvin Harris;dance pop;2012;128;92;71;-3;20;92;206;0;3;83
First Class;Jack Harlow;deep underground hip hop;2022;107;58;90;-6;11;33;174;11;11;83
Gasolina;Daddy Yankee;latin hip hop;2004;96;80;85;-7;8;74;193;32;6;83
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers];Daft Punk;electro;2013;116;81;79;-9;10;86;248;4;4;83
Hate It Or Love It;The Game;gangster rap;2005;100;79;80;-5;12;44;206;14;21;83
Heartbreak Anniversary;Giveon;r&b;2020;89;47;45;-9;30;54;198;52;8;83
Hey Ya!;Outkast;atl hip hop;2003;80;97;73;-2;17;97;235;10;7;83
I Gotta Feeling;Black Eyed Peas;dance pop;2009;128;77;74;-6;51;61;289;9;3;83
I Like Me Better;Lauv;pop;2018;92;51;75;-8;10;42;197;53;26;83
I Want It That Way;Backstreet Boys;boy band;1999;99;69;69;-6;15;48;213;26;3;83
INDUSTRY BABY (feat. Jack Harlow);Lil Nas X;lgbtq+ hip hop;2021;150;70;74;-7;5;89;212;2;6;83
Just Give Me a Reason (feat. Nate Ruess);P!nk;dance pop;2012;95;55;78;-7;13;44;243;35;5;83
Leave The Door Open;Bruno Mars;dance pop;2021;148;62;59;-8;9;72;242;18;3;83
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);Tainy;pop reggaeton;2021;170;70;64;-6;9;14;207;9;8;83
Lose You To Love Me;Selena Gomez;pop;2020;103;34;49;-9;21;10;206;56;4;83
Love You Like A Love Song;Selena Gomez & The Scene;pop;2011;117;68;86;-4;7;92;188;8;5;83
Mask Off;Future;atl hip hop;2017;150;43;83;-9;17;28;205;1;43;83
MIDDLE CHILD;J. Cole;conscious hip hop;2019;124;36;84;-12;27;46;214;15;28;83
Mood (feat. iann dior);24kGoldn;cali rap;2021;91;72;70;-4;32;73;141;17;4;83
Moth To A Flame (with The Weeknd);Swedish House Mafia;edm;2021;120;66;55;-7;11;11;234;0;4;83
Ms. Jackson;Outkast;atl hip hop;2000;95;81;84;-6;8;61;271;14;27;83
My Universe;Coldplay;permanent wave;2021;105;70;59;-6;20;44;228;1;4;83
My Universe;Coldplay;permanent wave;2021;105;71;57;-6;33;47;226;1;4;83
No Lie;Sean Paul;dance pop;2018;102;88;74;-3;21;46;221;5;12;83
Party In The U.S.A.;Miley Cyrus;pop;2009;96;70;65;-5;9;47;202;0;4;83
Rolling in the Deep;Adele;british soul;2011;105;77;73;-5;5;51;228;14;3;83
SAD!;XXXTENTACION;emo rap;2018;75;61;74;-5;12;47;167;26;14;83
Save Your Tears (with Ariana Grande) (Remix);The Weeknd;canadian contemporary r&b;2021;118;83;65;-5;9;59;191;2;3;83
Sex on Fire;Kings of Leon;modern rock;2008;153;91;54;-6;14;37;203;0;5;83
Smack That;Akon;dance pop;2006;119;74;94;-5;11;92;212;32;5;83
Someone Like You;Adele;british soul;2011;135;32;56;-8;10;29;285;89;3;83
Sorry;Justin Bieber;canadian pop;2015;100;76;65;-4;30;41;201;8;5;83
Stereo Hearts (feat. Adam Levine);Gym Class Heroes;dance pop;2011;90;80;65;-3;27;80;211;3;10;83
Streets;Doja Cat;dance pop;2019;90;46;75;-8;34;19;227;21;8;83
Stronger;Kanye West;chicago rap;2007;104;72;62;-8;41;49;312;1;15;83
Sugar;Maroon 5;pop;2014;120;79;75;-7;9;88;235;6;3;83
thank u, next;Ariana Grande;pop;2019;107;65;72;-6;10;41;207;23;7;83
The Box;Roddy Ricch;melodic rap;2019;117;59;90;-7;79;64;197;10;6;83
The Middle;Jimmy Eat World;alternative metal;2001;162;85;64;-5;6;90;166;4;5;83
The Reason;Hoobastank;alternative metal;2003;83;67;47;-5;16;7;233;1;3;83
The Way I Are;Timbaland;dance pop;2007;115;81;73;-6;32;77;179;18;10;83
TiK ToK;Kesha;dance pop;2010;120;84;76;-3;29;71;200;10;14;83
Timber (feat. Ke$ha);Pitbull;dance pop;2012;130;96;58;-4;14;79;204;3;10;83
Titanium (feat. Sia);David Guetta;big room;2012;126;79;60;-4;13;30;245;7;10;83
Whenever Wherever;Shakira;colombian pop;2001;108;83;79;-5;20;87;196;24;4;83
Wow.;Post Malone;dfw rap;2019;100;54;83;-7;10;39;150;14;21;83
XO Tour Llif3;Lil Uzi Vert;melodic rap;2017;155;75;73;-6;11;40;183;0;23;83
Yes Indeed;Lil Baby;atl hip hop;2018;120;35;96;-9;11;56;142;4;53;83
You Right;Doja Cat;dance pop;2021;129;62;83;-6;8;44;186;2;6;83
A Thousand Years;Christina Perri;pop;2011;139;41;42;-7;11;16;285;31;3;82
About Damn Time;Lizzo;escape room;2022;109;74;84;-6;34;72;192;10;7;82
All I Want;Kodaline;irish pop;2013;187;41;19;-10;8;16;306;17;5;82
Alright;Kendrick Lamar;conscious hip hop;2015;110;77;80;-6;8;56;219;7;24;82
Animals;Maroon 5;pop;2014;190;74;28;-6;59;33;231;0;9;82
