#,"Country,
Other","Total
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
28,DPRK,"4,772,813",74,,"4,772,739",0,,"183,636",3,,,"25,990,679"
29,Thailand,"4,681,309","32,767",9,"4,642,083","6,459","1,496","66,801",468,"17,270,775","246,450","70,078,203"
30,Israel,"4,661,096","11,698",,"4,641,394","8,004",101,"499,796","1,254","41,373,364","4,436,346","9,326,000"
31,Chile,"4,620,377","61,141",,"4,540,886","18,350",124,"240,017","3,176","45,128,974","2,344,339","19,250,195"
32,Belgium,"4,533,249","32,659",,"4,451,569","49,021",48,"388,511","2,799","35,555,508","3,047,194","11,668,278"
33,Canada,"4,233,468","44,992",,"4,131,367","57,109",99,"110,280","1,172","64,928,884","1,691,366","38,388,419"
34,Peru,"4,143,085","216,539",,"3,914,598","11,948",147,"122,998","6,429","35,126,382","1,042,815","33,684,208"
35,Czechia,"4,100,480","41,059",,"4,035,333","24,088",39,"381,910","3,824","56,212,735","5,235,528","10,736,784"
36,Switzerland,"4,084,307","14,183",,"4,012,833","57,291",54,"465,520","1,617","22,318,542","2,543,819","8,773,637"
37,South Africa,"4,018,769","102,185",,"3,909,265","7,319",192,"66,146","1,682","26,174,429","430,811","60,756,135"
38,Philippines,"3,945,566","62,916",,"3,854,478","28,172",696,"35,069",559,"32,796,350","291,500","112,508,994"
39,Romania,"3,267,370","67,016",,"3,180,124","20,230",123,"171,684","3,521","25,094,131","1,318,569","19,031,335"
40,Denmark,"3,110,831","7,065",,"3,093,396","10,370",,"533,138","1,211","128,397,719","22,004,939","5,834,950"
41,Sweden,"2,588,441","20,194",,"2,548,125","20,122",13,"253,298","1,976","18,965,590","1,855,920","10,218,971"
42,Iraq,"2,459,982","25,355",,"2,433,704",923,21,"58,342",601,"19,239,264","456,286","42,164,965"
43,Serbia,"2,359,530","17,000",,"2,298,536","43,994",33,"272,683","1,965","11,030,499","1,274,758","8,653,016"
44,Hungary,"2,094,142","47,503",,"2,014,175","32,464",18,"217,998","4,945","11,394,556","1,186,160","9,606,259"
45,Bangladesh,"2,024,489","29,362",,"1,964,501","30,626","1,331","12,059",175,"14,872,260","88,586","167,885,689"
46,Singapore,"1,904,192","1,617",,"1,821,160","81,415",9,"320,380",272,"24,345,019","4,096,043","5,943,546"
47,Slovakia,"1,843,220","20,455",,"1,817,938","4,827",22,"337,574","3,746","7,298,163","1,336,613","5,460,193"
48,Georgia,"1,780,691","16,900",,"1,637,293","126,498",,"448,679","4,258","16,920,079","4,263,340","3,968,738"
49,New Zealand,"1,779,476","2,959",,"1,767,660","8,857",,"363,292",604,"7,544,063","1,540,170","4,898,203"
50,Hong Kong,"1,761,381","10,153",,"1,469,240","281,988",8,"231,630","1,335","54,352,132","7,147,553","7,604,299"
51,Jordan,"1,746,997","14,122",,"1,731,007","1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869"
52,Ireland,"1,663,653","7,905",,"1,648,405","7,343",13,"331,392","1,575","12,708,583","2,531,490","5,020,199"
53,Pakistan,"1,572,598","30,616",3,"1,536,924","5,058",47,"6,853",133,"30,477,451","132,806","229,488,994"
54,Norway,"1,462,318","4,098",,"1,457,108","1,112",20,"265,327",744,"11,002,430","1,996,315","5,511,370"
55,Kazakhstan,"1,393,468","13,690",,"1,378,440","1,338",24,"72,557",713,"11,575,012","602,707","19,205,043"
56,Finland,"1,292,940","5,981",,"1,263,711","23,248",21,"232,754","1,077","11,505,032","2,071,128","5,554,960"
57,Morocco,"1,264,935","16,278",,"1,248,543",114,293,"33,488",431,"12,577,650","332,982","37,772,756"
58,Bulgaria,"1,258,670","37,714",,"1,211,397","9,559",43,"183,892","5,510","10,559,171","1,542,702","6,844,597"
59,Lithuania,"1,249,134","9,320",,"1,216,151","23,663",12,"469,298","3,502","10,174,473","3,822,535","2,661,708"
60,Croatia,"1,231,575","16,902",,"1,209,524","5,149",10,"303,397","4,164","5,225,875","1,287,388","4,059,286"
61,Lebanon,"1,215,511","10,674",,"1,087,587","117,250",74,"181,831","1,597","4,795,578","717,380","6,684,849"
62,Slovenia,"1,181,073","6,820",,"1,145,051","29,202",22,"568,361","3,282","2,743,244","1,320,115","2,078,034"
63,Tunisia,"1,145,686","29,249",,N/A,N/A,99,"95,104","2,428","4,948,208","410,754","12,046,656"
64,Guatemala,"1,123,465","19,789",,"1,102,988",688,5,"60,453","1,065","5,884,813","316,660","18,584,039"
65,Cuba,"1,111,179","8,530",,"1,102,548",101,23,"98,285",754,"14,149,157","1,251,512","11,305,652"
66,Bolivia,"1,108,195","22,234",,"1,051,789","34,172",220,"92,406","1,854","2,705,422","225,590","11,992,656"
67,Costa Rica,"1,072,807","8,913",,"860,711","203,183",52,"207,012","1,720","4,659,757","899,158","5,182,354"
68,UAE,"1,027,031","2,345",,"1,006,369","18,317",,"101,870",233,"190,586,733","18,904,066","10,081,785"
69,Ecuador,"1,003,778","35,894",,"964,320","3,564",759,"55,416","1,982","3,082,403","170,173","18,113,361"
70,Nepal,"999,712","12,018",,"986,617","1,077",,"33,075",398,"5,936,702","196,413","30,225,582"
71,Belarus,"994,037","7,118",,"985,592","1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800"
72,Panama,"986,866","8,497",,"976,873","1,496",16,"221,919","1,911","7,062,027","1,588,056","4,446,964"
73,Uruguay,"985,422","7,485",,"976,760","1,177",18,"281,870","2,141","6,114,822","1,749,083","3,496,016"
74,Mongolia,"982,864","2,179",,"979,439","1,246",192,"290,954",645,"4,030,048","1,193,000","3,378,078"
75,Latvia,"929,051","5,990",,"891,237","31,824",5,"502,506","3,240","7,650,009","4,137,741","1,848,837"
76,Azerbaijan,"821,162","9,910",,"810,181","1,071",,"79,723",962,"7,245,111","703,395","10,300,205"
77,Saudi Arabia,"816,389","9,351",,"803,546","3,492",32,"22,776",261,"44,321,147","1,236,470","35,844,909"
78,Paraguay,"716,059","19,583",,"696,110",366,7,"98,012","2,680","2,657,506","363,751","7,305,843"
79,Bahrain,"680,271","1,520",,"675,724","3,027",2,"381,321",852,"10,376,306","5,816,370","1,783,983"
80,Sri Lanka,"670,763","16,761",,"653,779",223,,"31,089",777,"6,486,117","300,619","21,575,842"
81,Kuwait,"658,520","2,563",,"655,316",641,3,"150,336",585,"8,365,279","1,909,739","4,380,326"
82,Dominican Republic,"644,016","4,384",,"638,911",721,4,"58,248",397,"3,657,057","330,765","11,056,370"
83,Myanmar,"622,802","19,458",,"597,898","5,446",,"11,277",352,"9,056,450","163,985","55,227,143"
84,Palestine,"620,548","5,403",,"608,749","6,396",17,"116,087","1,011","3,078,533","575,907","5,345,541"
85,Estonia,"601,869","2,681",,"524,990","74,198",4,"455,303","2,028","3,536,858","2,675,566","1,321,910"
86,Moldova,"589,388","11,844",,"504,142","73,402",49,"146,863","2,951","3,216,305","801,437","4,013,171"
87,Cyprus,"585,313","1,180",,"578,452","5,681",60,"478,437",965,"9,640,118","7,879,860","1,223,387"
88,Venezuela,"544,687","5,814",,"538,033",840,36,"18,611",199,"3,359,014","114,771","29,266,991"
89,Egypt,"515,645","24,613",,"442,182","48,850",122,"4,857",232,"3,693,367","34,792","106,156,692"
90,Libya,"506,991","6,437",,"500,507",47,101,"72,008",914,"2,481,983","352,517","7,040,745"
91,Ethiopia,"493,563","7,572",,"471,918","14,073",1,"4,085",63,"5,258,807","43,529","120,812,698"
92,Réunion,"472,336",893,,"418,572","52,871",10,"520,159",983,"1,603,660","1,766,027","908,061"
93,Honduras,"456,391","10,993",,N/A,N/A,105,"44,651","1,076","1,528,531","149,544","10,221,247"
94,Qatar,"450,448",682,,"443,418","6,348",4,"151,161",229,"3,951,470","1,326,034","2,979,915"
95,Armenia,"442,875","8,683",,"430,192","4,000",,"149,018","2,922","3,210,961","1,080,416","2,971,966"
96,Bosnia and Herzegovina,"398,668","16,136",,"376,654","5,878",,"122,693","4,966","1,861,041","572,748","3,249,317"
97,Oman,"397,993","4,260",,"384,669","9,064",2,"74,755",800,"25,000,000","4,695,724","5,323,993"
98,North Macedonia,"342,775","9,534",,"332,806",435,,"164,692","4,581","2,130,257","1,023,520","2,081,304"
99,Kenya,"338,420","5,678",,"332,663",79,1,"6,020",101,"3,881,967","69,055","56,215,221"
100,Zambia,"333,531","4,017",,"329,375",139,,"17,130",206,"3,731,374","191,645","19,470,234"
101,Albania,"332,173","3,588",,"326,729","1,856",,"115,886","1,252","1,941,032","677,173","2,866,374"
102,Botswana,"326,308","2,789",,"322,955",564,1,"133,669","1,142","2,026,898","830,300","2,441,162"
103,Luxembourg,"288,658","1,123",,"283,668","3,867",,"449,363","1,748","4,402,293","6,853,194","642,371"
104,Montenegro,"280,002","2,781",,"276,154","1,067",6,"445,899","4,429","2,624,193","4,178,984","627,950"
105,Algeria,"270,668","6,879",,"182,306","81,483",6,"5,968",152,"230,861","5,091","45,350,148"
106,Nigeria,"265,382","3,155",,"258,381","3,846",11,"1,224",15,"5,441,162","25,104","216,746,934"
107,Zimbabwe,"257,409","5,602",,"251,281",526,12,"16,790",365,"2,511,501","163,814","15,331,428"
108,China,"250,449","5,226",,"242,254","2,969",36,173,4,"160,000,000","110,461","1,448,471,400"
109,Uzbekistan,"244,199","1,637",,"241,486","1,076",23,"7,103",48,"1,377,915","40,077","34,382,084"
110,Mozambique,"230,219","2,221",,"227,882",116,11,"6,957",67,"1,371,127","41,437","33,089,461"
111,Brunei,"226,237",225,,"222,140","3,872",3,"507,906",505,"717,784","1,611,437","445,431"
112,Martinique,"221,618","1,044",,N/A,N/A,8,"592,424","2,791","828,928","2,215,870","374,087"
113,Laos,"215,843",758,,N/A,N/A,,"28,852",101,"1,233,207","164,845","7,481,023"
114,Kyrgyzstan,"206,083","2,991",,"196,406","6,686",131,"30,629",445,"1,907,195","283,460","6,728,271"
115,Iceland,"205,637",213,,N/A,N/A,2,"595,371",617,"1,996,384","5,780,036","345,393"
116,El Salvador,"201,785","4,229",,"179,410","18,146",8,"30,805",646,"2,610,114","398,467","6,550,389"
117,Afghanistan,"199,067","7,799",,"177,850","13,418","1,124","4,885",191,"1,103,716","27,082","40,754,388"
118,Guadeloupe,"192,801",989,,N/A,N/A,19,"482,251","2,474","938,039","2,346,306","399,794"
119,Maldives,"185,042",308,,"163,687","21,047",25,"342,046",569,"2,213,831","4,092,223","540,985"
120,Trinidad and Tobago,"182,597","4,195",,"174,214","4,188",18,"129,816","2,982","834,508","593,287","1,406,585"
121,Uganda,"169,396","3,628",,"100,431","65,337",3,"3,498",75,"3,012,408","62,198","48,432,863"
122,Namibia,"169,253","4,065",,"164,813",375,,"64,260","1,543","1,062,663","403,460","2,633,874"
123,Ghana,"169,100","1,459",,"167,307",334,2,"5,220",45,"2,504,017","77,295","32,395,450"
124,Jamaica,"151,829","3,317",,"99,239","49,273",,"50,862","1,111","1,183,986","396,633","2,985,094"
125,Cambodia,"137,870","3,056",,"134,745",69,,"8,030",178,"3,069,567","178,789","17,168,639"
126,Rwanda,"132,498","1,466",,"130,955",77,,"9,742",108,"5,816,624","427,678","13,600,464"
127,Cameroon,"121,652","1,935",,"118,616","1,101",13,"4,358",69,"1,751,774","62,762","27,911,548"
128,Malta,"114,652",806,,"113,195",651,4,"258,206","1,815","2,060,900","4,641,322","444,033"
129,Angola,"103,131","1,917",,"101,155",59,,"2,944",55,"1,499,795","42,818","35,027,343"
130,Barbados,"102,546",559,,"101,760",227,,"356,034","1,941","765,378","2,657,350","288,023"
131,French Guiana,"93,974",410,,"11,254","82,310",3,"299,119","1,305","651,257","2,072,951","314,169"
132,DRC,"92,852","1,442",,"83,504","7,906",,975,15,"846,704","8,890","95,240,792"
133,Channel Islands,"91,561",202,,"90,639",720,,"518,868","1,145","1,252,808","7,099,551","176,463"
134,Senegal,"88,373","1,968",,"86,297",108,,"5,006",111,"1,146,543","64,946","17,653,671"
135,Malawi,"88,024","2,682",,"84,872",470,67,"4,362",133,"616,772","30,562","20,180,839"
136,Ivory Coast,"87,208",826,,"86,338",44,,"3,144",30,"1,628,106","58,687","27,742,298"
137,Suriname,"81,106","1,385",,N/A,N/A,,"135,894","2,321","239,178","400,747","596,831"
138,French Polynesia,"76,599",649,,N/A,N/A,7,"269,559","2,284",,,"284,164"
139,New Caledonia,"74,152",314,,"73,823",15,9,"254,892","1,079","98,964","340,182","290,915"
140,Eswatini,"73,390","1,422",,"71,955",13,11,"61,942","1,200","1,045,903","882,755","1,184,817"
141,Guyana,"71,336","1,281",,"69,977",78,,"89,839","1,613","695,695","876,141","794,045"
142,Belize,"68,826",683,,"68,079",64,6,"166,976","1,657","576,016","1,397,453","412,190"
143,Fiji,"68,242",878,,"66,302","1,062",,"75,035",965,"662,620","728,581","909,466"
144,Madagascar,"66,676","1,410",,"65,242",24,,"2,285",48,"512,993","17,581","29,178,077"
145,Sudan,"63,285","4,961",,"57,290","1,034",,"1,376",108,"562,941","12,240","45,992,020"
146,Mauritania,"62,812",995,,"61,789",28,,"12,814",203,"970,892","198,061","4,901,981"
147,Cabo Verde,"62,371",410,,"61,890",71,23,"109,870",722,"401,622","707,482","567,678"
148,Bhutan,"61,730",21,,"61,564",145,,"78,343",27,"2,303,734","2,923,739","787,941"
149,Syria,"57,299","3,163",,"54,078",58,,"2,959",163,"146,269","7,553","19,364,809"
150,Burundi,"50,129",38,,"49,559",532,,"3,971",3,"345,742","27,386","12,624,840"
151,Gabon,"48,691",306,,"48,292",93,,"20,884",131,"1,616,256","693,216","2,331,533"
152,Seychelles,"47,141",169,,"46,446",526,,"474,132","1,700",,,"99,426"
153,Andorra,"46,227",155,,"46,011",61,14,"596,762","2,001","249,838","3,225,256","77,463"
154,Curaçao,"45,127",282,,"44,720",125,3,"272,623","1,704","496,693","3,000,640","165,529"
155,Papua New Guinea,"44,997",668,,"43,982",347,7,"4,842",72,"249,149","26,813","9,292,169"
156,Aruba,"42,914",227,,"42,438",249,2,"398,796","2,109","177,885","1,653,068","107,609"
157,Mauritius,"40,461","1,024",,"38,786",651,,"31,741",803,"358,675","281,374","1,274,727"
158,Mayotte,"40,243",187,,N/A,N/A,,"140,582",653,"176,919","618,038","286,259"
159,Tanzania,"39,440",845,,N/A,N/A,7,623,13,,,"63,298,550"
160,Togo,"39,034",285,,"38,528",221,,"4,497",33,"791,865","91,220","8,680,837"
161,Isle of Man,"38,008",116,,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732"
162,Guinea,"37,652",449,,"36,880",323,8,"2,715",32,"660,107","47,607","13,865,691"
163,Bahamas,"37,267",833,,"36,070",364,2,"93,047","2,080","248,846","621,314","400,516"
164,Faeroe Islands,"34,658",28,,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233"
165,Lesotho,"34,490",706,,"25,980","7,804",,"15,852",324,"431,221","198,199","2,175,699"
166,Haiti,"33,733",857,,"31,307","1,569",,"2,888",73,"132,422","11,337","11,680,283"
167,Mali,"32,625",742,,"31,591",292,,"1,519",35,"759,178","35,354","21,473,764"
168,Cayman Islands,"30,661",32,,"8,553","22,076",1,"455,743",476,"222,773","3,311,280","67,277"
169,Saint Lucia,"29,408",391,,"28,475",542,,"158,865","2,112","210,354","1,136,355","185,113"
170,Benin,"27,638",163,,"27,322",153,5,"2,162",13,"604,310","47,268","12,784,726"
171,Somalia,"27,214","1,352",,"13,182","12,680",,"1,616",80,"400,466","23,778","16,841,795"
172,Congo,"24,837",386,,"24,006",445,,"4,284",67,"347,815","59,991","5,797,805"
173,Timor-Leste,"23,253",138,,"23,102",13,,"16,980",101,"278,529","203,391","1,369,429"
174,Burkina Faso,"21,631",387,,"21,143",101,,979,18,"248,995","11,265","22,102,838"
175,Solomon Islands,"21,544",153,,"16,357","5,034",1,"29,874",212,"5,117","7,096","721,159"
176,San Marino,"20,763",118,,"20,524",121,4,"609,154","3,462","157,634","4,624,732","34,085"
177,Gibraltar,"20,092",108,,"16,579","3,405",,"596,131","3,204","534,283","15,852,213","33,704"
178,Liechtenstein,"19,713",86,,"19,403",224,2,"513,533","2,240","102,174","2,661,682","38,387"
179,Grenada,"19,536",237,,"19,248",51,4,"172,161","2,089","179,808","1,584,560","113,475"
180,Nicaragua,"18,491",225,,"4,225","14,041",,"2,728",33,,,"6,779,100"
181,Bermuda,"18,154",148,,"17,969",37,,"293,095","2,389","1,006,083","16,243,126","61,939"
182,South Sudan,"17,823",138,,"17,335",350,1,"1,534",12,"410,280","35,313","11,618,511"
183,Tajikistan,"17,786",125,,"17,264",397,,"1,786",13,,,"9,957,464"
184,Equatorial Guinea,"17,012",183,,"16,690",139,5,"11,367",122,"365,697","244,342","1,496,662"
185,Tonga,"16,182",12,,"15,638",532,,"150,182",111,"535,009","4,965,327","107,749"
186,Samoa,"15,925",29,,"1,605","14,291",4,"78,743",143,"187,397","926,612","202,239"
187,Dominica,"15,747",74,,"15,651",22,,"217,668","1,023","228,799","3,162,653","72,344"
188,Djibouti,"15,690",189,,"15,427",74,,"15,441",186,"305,941","301,094","1,016,097"
189,Marshall Islands,"15,275",17,,"15,166",92,22,"254,342",283,,,"60,057"
190,CAR,"14,913",113,,"14,520",280,2,"2,973",23,"81,294","16,205","5,016,678"
191,Monaco,"14,608",63,,"14,478",67,4,"367,192","1,584","78,646","1,976,875","39,783"
192,Gambia,"12,508",372,,"12,028",108,,"4,889",145,"155,686","60,851","2,558,482"
193,Saint Martin,"11,978",63,,"1,399","10,516",7,"301,485","1,586","112,382","2,828,643","39,730"
194,Greenland,"11,971",21,,"2,761","9,189",4,"210,117",369,"164,926","2,894,810","56,973"
195,Yemen,"11,935","2,157",,"9,124",654,23,383,69,"329,592","10,579","31,154,867"
196,Vanuatu,"11,930",14,,"11,894",22,,"37,069",44,"24,976","77,606","321,832"
197,Caribbean Netherlands,"11,235",36,,"10,476",723,,"421,623","1,351","30,126","1,130,559","26,647"
198,Sint Maarten,"10,863",87,,"10,773",3,10,"247,077","1,979","62,056","1,411,454","43,966"
199,Eritrea,"10,169",103,,"10,063",3,,"2,777",28,"23,693","6,470","3,662,244"
200,Niger,"9,931",312,,"8,890",729,1,381,12,"254,538","9,759","26,083,660"
201,Micronesia,"9,759",29,,157,"9,573",1,"83,063",247,"21,923","186,596","117,489"
202,Antigua and Barbuda,"9,098",146,,"8,923",29,1,"91,429","1,467","18,901","189,943","99,509"
203,Guinea-Bissau,"8,796",175,,"8,301",320,6,"4,263",85,"145,231","70,385","2,063,367"
204,Comoros,"8,471",161,,"8,305",5,,"9,335",177,,,"907,419"
205,Liberia,"7,961",294,,"7,636",31,2,"1,501",55,"139,824","26,356","5,305,117"
206,Sierra Leone,"7,751",126,,N/A,N/A,,933,15,"259,958","31,296","8,306,436"
207,Chad,"7,583",193,,"4,874","2,516",,435,11,"191,341","10,988","17,413,580"
208,British Virgin Islands,"7,305",64,,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596"
209,St. Vincent Grenadines,"7,112",115,,"6,641",356,,"63,756","1,031","100,856","904,125","111,551"
210,Saint Kitts and Nevis,"6,541",46,,"6,482",13,,"121,420",854,"124,861","2,317,778","53,871"
211,Cook Islands,"6,389",1,,"6,384",4,,"363,610",57,"19,690","1,120,596","17,571"
212,Turks and Caicos,"6,380",36,,"6,321",23,4,"160,539",906,"550,093","13,841,952","39,741"
213,Sao Tome and Principe,"6,230",77,,"6,132",21,,"27,363",338,"29,036","127,530","227,679"
214,Palau,"5,460",6,,"5,444",10,1,"299,457",329,"64,681","3,547,469","18,233"
215,St. Barth,"5,285",6,,N/A,N/A,,"531,423",603,"78,646","7,908,095","9,945"
216,Nauru,"4,611",1,,"4,605",5,,"422,911",92,"20,509","1,881,042","10,903"
217,Anguilla,"3,865",12,,"3,848",5,4,"253,775",788,"51,382","3,373,736","15,230"
218,Kiribati,"3,430",13,,"2,703",714,3,"27,792",105,,,"123,419"
219,Saint Pierre Miquelon,"3,188",1,,"2,449",738,1,"553,568",174,"24,902","4,324,015","5,759"
220,Falkland Islands,"1,886",,,"1,886",0,,"532,919",,"8,632","2,439,107","3,539"
221,Montserrat,"1,396",8,,"1,353",35,,"281,168","1,611","17,579","3,540,584","4,965"
222,Saint Helena,"1,355",,,2,"1,353",,"221,586",,,,"6,115"
223,Macao,793,6,,787,0,,"1,188",9,"7,850","11,760","667,490"
224,Wallis and Futuna,761,7,,438,316,,"69,295",637,"20,508","1,867,419","10,982"
225,Diamond Princess,712,13,,699,0,,,,,,
226,Niue,80,,,80,0,,"49,322",,,,"1,622"
227,Vatican City,29,,,29,0,,"36,295",,,,799
228,Tuvalu,20,,,,20,,"1,658",,,,"12,066"
229,Western Sahara,10,1,,9,0,,16,2,,,"626,161"
230,MS Zaandam,9,2,,7,0,,,,,,
