Country,Talent,Infrastructure,Operating Environment,Research,Development,Government Strategy,Commercial,Total score,Region,Cluster,Income group,Political regime
Qatar,0.0,67.97,62.58,11.94,0.0,33.49,0.0,14.66,Middle East,Waking up,High,Closed autocracy
Turkey,8.49,40.74,64.34,9.53,1.02,67.45,0.95,14.39,Europe,Waking up,High,Electoral democracy
Colombia,4.97,54.8,62.37,0.0,0.89,85.29,0.5,13.85,Americas,Waking up,Upper middle,Electoral democracy
Uruguay,7.28,58.77,70.75,0.73,0.26,30.92,0.43,13.27,Americas,Waking up,High,Liberal democracy
Bahrain,4.99,60.39,60.9,2.53,0.0,17.72,0.24,11.79,Middle East,Waking up,High,Closed autocracy
Vietnam,6.34,55.76,37.61,2.03,0.3,68.86,0.31,11.62,Asia-Pacific,Waking up,Lower middle,Closed autocracy
Indonesia,5.51,47.52,51.18,0.98,3.52,59.99,0.91,11.47,Asia-Pacific,Waking up,Lower middle,Electoral democracy
Tunisia,8.94,38.59,62.32,3.9,0.0,12.18,0.15,9.87,Africa,Waking up,Lower middle,Electoral democracy
South Africa,4.61,45.73,58.43,0.83,7.52,0.0,2.03,9.71,Africa,Waking up,Upper middle,Electoral democracy
Morocco,3.36,44.88,60.17,1.46,0.05,15.9,0.1,8.87,Africa,Waking up,Lower middle,Closed autocracy
Armenia,6.69,37.84,58.4,0.28,0.33,14.4,1.37,8.49,Europe,Waking up,Upper middle,Electoral democracy
Sri Lanka,6.27,34.64,35.79,0.12,0.95,35.57,0.09,6.62,Asia-Pacific,Nascent,Lower middle,Electoral democracy
Egypt,1.11,38.84,0.0,2.08,1.54,68.72,0.31,4.83,Middle East,Nascent,Lower middle,Electoral autocracy
Kenya,0.75,14.11,29.84,0.07,12.15,7.75,0.31,2.3,Africa,Nascent,Lower middle,Electoral autocracy
Nigeria,2.74,0.0,50.1,0.45,2.06,7.75,0.33,1.38,Africa,Nascent,Lower middle,Electoral autocracy
Pakistan,8.0,2.43,12.48,2.17,1.09,13.92,0.27,0.0,Asia-Pacific,Nascent,Lower middle,Electoral autocracy
